Date,Ticker,Close,Return,Volatility,Liquidity,PE Ratio,Forward PE,PB Ratio,PEG Ratio,Beta,Debt/Equity,ROE,Profit Margin,Revenue Growth,Market Cap,Free Cash Flow,Short Ratio,LocalMax,IsCorrection,IsCrash,DropPct,LogClose
2010-02-01,AAPL,5.866568088531494,0.0,,,37.460316,28.483185,62.649323,,1.24,209.059,1.5741299,0.23971,0.061,3545215795200,110846001152,2.74,5.866568088531494,False,False,0.0,1.7692698101436004
2010-02-02,AAPL,5.900613784790039,0.005803341194505318,,,37.460316,28.483185,62.649323,,1.24,209.059,1.5741299,0.23971,0.061,3545215795200,110846001152,2.74,5.900613784790039,False,False,0.0,1.775056376821137
2010-02-03,AAPL,6.002139091491699,0.017205889150610165,,,37.460316,28.483185,62.649323,,1.24,209.059,1.5741299,0.23971,0.061,3545215795200,110846001152,2.74,6.002139091491699,False,False,0.0,1.7921159209402109
2010-02-04,AAPL,5.785830497741699,-0.03603858398693682,,,37.460316,28.483185,62.649323,,1.24,209.059,1.5741299,0.23971,0.061,3545215795200,110846001152,2.74,6.002139091491699,False,False,0.036038583986936774,1.755411910884888
2010-02-05,AAPL,5.8885626792907715,0.017755822883019245,,,37.460316,28.483185,62.649323,,1.24,209.059,1.5741299,0.23971,0.061,3545215795200,110846001152,2.74,6.002139091491699,False,False,0.018922655818144465,1.7730119405988944
2010-02-08,AAPL,5.848191261291504,-0.006855903587686729,,,37.460316,28.483185,62.649323,,1.24,209.059,1.5741299,0.23971,0.061,3545215795200,110846001152,2.74,6.002139091491699,False,False,0.02564882750191898,1.7661324273318706
2010-02-09,AAPL,5.910554885864258,0.010663745726910756,,,37.460316,28.483185,62.649323,,1.24,209.059,1.5741299,0.23971,0.061,3545215795200,110846001152,2.74,6.002139091491699,False,False,0.015258594349682119,1.776739716327814
2010-02-10,AAPL,5.878319263458252,-0.005453907971162075,,,37.460316,28.483185,62.649323,,1.24,209.059,1.5741299,0.23971,0.061,3545215795200,110846001152,2.74,6.002139091491699,False,False,0.020629283351491706,1.7712708815027092
2010-02-11,AAPL,5.985270023345947,0.018194105337649757,,,37.460316,28.483185,62.649323,,1.24,209.059,1.5741299,0.23971,0.061,3545215795200,110846001152,2.74,6.002139091491699,False,False,0.00281050936817919,1.7893014546749075
2010-02-12,AAPL,6.03678560256958,0.008607060169832481,,,37.460316,28.483185,62.649323,,1.24,209.059,1.5741299,0.23971,0.061,3545215795200,110846001152,2.74,6.03678560256958,False,False,0.0,1.7978716852809853
